CustomerID,customer_orders,total_spent,AOV,LT,CLV
12346.0,1,77183.6,77183.6,2.904283801874163,957613.9287817938
12347.0,7,4310.0,615.7142857142857,2.904283801874163,7639.143239625166
12348.0,4,1797.24,449.31,2.904283801874163,5574.57172690763
12349.0,1,1757.55,1757.55,2.904283801874163,21805.854618473895
12350.0,1,334.40000000000003,334.40000000000003,2.904283801874163,4148.88781793842
12352.0,8,2506.04,313.255,2.904283801874163,3886.5426238286473
12353.0,1,89.0,89.0,2.904283801874163,1104.2195448460507
12354.0,1,1079.4,1079.4,2.904283801874163,13392.073895582329
12355.0,1,459.40000000000003,459.40000000000003,2.904283801874163,5699.75796519411
12356.0,3,2811.43,937.1433333333333,2.904283801874163,11627.100954930833
12357.0,1,6207.67,6207.67,2.904283801874163,77018.3206961178
12358.0,2,1168.06,584.03,2.904283801874163,7246.037536813921
12359.0,4,6372.58,1593.145,2.904283801874163,19766.08816599732
12360.0,3,2662.06,887.3533333333334,2.904283801874163,11009.358357875948
12361.0,1,189.9,189.9,2.904283801874163,2356.081927710843
12362.0,10,5226.2300000000005,522.623,2.904283801874163,6484.163271753682
12363.0,2,552.0,276.0,2.904283801874163,3424.3212851405615
12364.0,4,1313.1,328.275,2.904283801874163,4072.8951807228905
12365.0,2,641.38,320.69,2.904283801874163,3978.7883801874164
12367.0,1,168.9,168.9,2.904283801874163,2095.5357429718874
12370.0,4,3545.69,886.4225,2.904283801874163,10997.80954484605
12371.0,2,1887.96,943.98,2.904283801874163,11711.923212851405
12372.0,3,1298.04,432.68,2.904283801874163,5368.243962516733
12373.0,1,364.6,364.6,2.904283801874163,4523.5780455153945
12374.0,1,742.9300000000001,742.9300000000001,2.904283801874163,9217.503668005354
12375.0,2,457.5,228.75,2.904283801874163,2838.0923694779117
12377.0,2,1628.1200000000001,814.0600000000001,2.904283801874163,10100.010816599732
12378.0,1,4008.62,4008.62,2.904283801874163,49734.7927175368
12379.0,2,852.24,426.12,2.904283801874163,5286.854297188755
12380.0,4,2724.81,681.2025,2.904283801874163,8451.65297188755
12381.0,5,1845.31,369.062,2.904283801874163,4578.937906291833
12383.0,5,1850.56,370.11199999999997,2.904283801874163,4591.965215528781
12384.0,2,585.27,292.635,2.904283801874163,3630.7110843373493
12386.0,2,401.9,200.95,2.904283801874163,2493.178848728246
12388.0,6,2780.6600000000003,463.4433333333334,2.904283801874163,5749.923444890674
